Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Precio_m2,Nombre,Valor_compra_venta,Numero_de_contratos
2020,2,6,Gràcia,29,el Coll,13.9,67.3,214.7,123.0
2020,2,6,Gràcia,30,la Salut,14.6,74.2,370.3,136.0
2020,2,6,Gràcia,31,la Vila de Gràcia,14.7,69.3,314.3,230.0
2020,2,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,14.2,71.3,304.3,217.0
2020,2,7,Horta-Guinardó,33,el Baix Guinardó,14.0,69.7,259.0,231.0
2020,2,7,Horta-Guinardó,34,Can Baró,13.0,57.9,199.8,234.0
2020,2,7,Horta-Guinardó,35,el Guinardó,13.5,65.7,222.2,168.0
2020,2,7,Horta-Guinardó,36,la Font d'en Fargues,12.8,84.0,309.0,152.0
2020,2,7,Horta-Guinardó,37,el Carmel,12.1,58.8,139.3,0.0
2020,2,7,Horta-Guinardó,38,la Teixonera,13.3,56.2,177.5,37.0
2020,2,7,Horta-Guinardó,39,Sant Genís dels Agudells,12.0,69.6,47.1,30.0
2020,2,7,Horta-Guinardó,40,Montbau,9.8,78.4,155.0,64.0
2020,2,7,Horta-Guinardó,41,la Vall d'Hebron,13.0,70.2,180.0,32.0
2020,2,7,Horta-Guinardó,42,la Clota,,,,81.0
2020,2,7,Horta-Guinardó,43,Horta,12.4,64.9,257.0,162.0
2020,2,8,Nou Barris,44,Vilapicina i la Torre Llobeta,12.1,68.4,221.8,149.0
2020,2,8,Nou Barris,45,Porta,12.1,60.6,170.0,56.0
2020,2,8,Nou Barris,46,el Turó de la Peira,12.3,59.0,156.2,18.0
2020,2,8,Nou Barris,47,Can Peguera,,,,9.0
2020,2,8,Nou Barris,48,la Guineueta,10.1,66.8,212.4,85.0
2020,2,8,Nou Barris,49,Canyelles,,83.0,165.0,40.0
2020,2,8,Nou Barris,50,les Roquetes,11.6,56.1,138.9,84.0
2020,2,8,Nou Barris,51,Verdun,11.1,53.9,175.0,221.0
2020,2,8,Nou Barris,52,la Prosperitat,12.6,58.3,165.1,139.0
2020,2,8,Nou Barris,53,la Trinitat Nova,12.6,52.1,105.6,55.0
2020,2,8,Nou Barris,54,Torre Baró,,53.0,,19.0
2020,2,8,Nou Barris,55,Ciutat Meridiana,8.5,60.5,75.8,37.0
2020,2,8,Nou Barris,56,Vallbona,,98.0,,307.0
